,wind_speed_Hessen,wind_speed_Brandenburg,wind_speed_Niedersachsen,wind_speed_Bayern,wind_speed_Rheinland-Pfalz,wind_speed_Mecklenburg-Vorpommern,wind_speed_Thüringen,wind_speed_Berlin,wind_speed_Saarland,wind_speed_Nordrhein-Westfalen,wind_speed_Bremen,wind_speed_Sachsen-Anhalt,wind_speed_Schleswig-Holstein,wind_speed_Sachsen,wind_speed_Baden-Württemberg,wind_speed_Hamburg,time_unix
1708675200,4.906,4.518666666666666,7.378000000000001,3.4973333333333336,5.073333333333333,7.923333333333334,5.027333333333333,4.066666666666666,5.740666666666666,5.711333333333333,8.23,5.216666666666667,7.854666666666667,4.422000000000001,3.9713333333333334,6.12,1708675200
1708678800,5.188,4.8,7.536000000000001,3.7380000000000004,5.005999999999999,7.846000000000001,5.164,4.41,5.853999999999999,5.8500000000000005,8.39,5.220000000000001,7.542,4.5680000000000005,3.95,5.93,1708678800
1708682400,5.175333333333334,4.752,7.576666666666667,3.5100000000000002,4.988666666666666,7.5680000000000005,5.431333333333333,4.53,5.6,5.800666666666667,8.05,5.2906666666666675,7.598,4.572,3.9506666666666668,5.943333333333333,1708682400
1708686000,5.1626666666666665,4.704000000000001,7.617333333333334,3.2819999999999996,4.971333333333333,7.289999999999999,5.698666666666666,4.6499999999999995,5.346,5.751333333333333,7.71,5.3613333333333335,7.653999999999999,4.5760000000000005,3.951333333333334,5.956666666666666,1708686000
1708689600,5.15,4.656000000000001,7.6579999999999995,3.0539999999999994,4.954,7.011999999999999,5.965999999999999,4.77,5.0920000000000005,5.702,7.37,5.432,7.709999999999999,4.58,3.9520000000000004,5.97,1708689600
1708693200,4.926,4.282,7.015333333333333,2.9359999999999995,4.574666666666666,6.506666666666666,5.567333333333333,4.366666666666666,4.758,5.494000000000001,7.076666666666667,5.096,7.490666666666666,4.251333333333333,3.660666666666667,5.6433333333333335,1708693200
1708696800,4.702,3.9080000000000004,6.3726666666666665,2.818,4.195333333333333,6.001333333333332,5.168666666666667,3.9633333333333334,4.424,5.2860000000000005,6.783333333333333,4.760000000000001,7.271333333333333,3.9226666666666667,3.3693333333333335,5.316666666666666,1708696800
1708700400,4.478,3.5340000000000003,5.73,2.7,3.816,5.4959999999999996,4.7700000000000005,3.56,4.09,5.078000000000001,6.49,4.424,7.052,3.594,3.0780000000000003,4.99,1708700400
1708704000,4.061333333333334,3.2173333333333334,5.274,2.404666666666667,3.5793333333333335,4.9126666666666665,4.1786666666666665,3.2333333333333334,3.7493333333333334,5.088000000000001,6.156666666666667,3.954,6.476,3.1413333333333333,2.692,4.68,1708704000
1708707600,3.6446666666666667,2.900666666666667,4.8180000000000005,2.1093333333333333,3.3426666666666667,4.3293333333333335,3.5873333333333335,2.9066666666666667,3.408666666666667,5.098,5.823333333333333,3.4840000000000004,5.8999999999999995,2.6886666666666668,2.3060000000000005,4.37,1708707600
1708711200,3.228,2.584,4.362,1.814,3.1060000000000003,3.746,2.9959999999999996,2.58,3.0680000000000005,5.108,5.49,3.0140000000000002,5.324,2.236,1.9200000000000004,4.06,1708711200
1708714800,2.9733333333333336,2.3746666666666667,4.126,1.8346666666666667,3.1293333333333333,3.5846666666666667,2.6586666666666665,2.37,3.544,4.914,5.01,2.7453333333333334,4.689333333333334,2.1260000000000003,2.0153333333333334,3.5933333333333333,1708714800
1708718400,2.7186666666666666,2.1653333333333333,3.8900000000000006,1.8553333333333335,3.1526666666666667,3.423333333333333,2.321333333333333,2.16,4.02,4.720000000000001,4.53,2.476666666666667,4.054666666666667,2.016,2.110666666666667,3.1266666666666665,1708718400
1708722000,2.464,1.9560000000000002,3.654000000000001,1.8760000000000001,3.1759999999999997,3.2619999999999996,1.984,1.95,4.4959999999999996,4.526000000000001,4.05,2.208,3.4200000000000004,1.9060000000000001,2.206,2.66,1708722000
1708725600,2.8153333333333332,2.0393333333333334,3.604666666666667,1.9946666666666668,3.445333333333333,3.139333333333333,2.1273333333333335,1.77,4.526666666666666,5.0040000000000004,4.03,2.226,3.406,1.9393333333333334,2.3826666666666667,2.606666666666667,1708725600
1708729200,3.1666666666666665,2.1226666666666665,3.555333333333334,2.1133333333333333,3.714666666666667,3.0166666666666666,2.270666666666667,1.5899999999999999,4.557333333333333,5.482,4.01,2.244,3.3920000000000003,1.9726666666666666,2.5593333333333335,2.5533333333333332,1708729200
1708732800,3.518,2.206,3.5060000000000002,2.232,3.9840000000000004,2.894,2.4140000000000006,1.41,4.588,5.96,3.99,2.262,3.378,2.006,2.736,2.5,1708732800
1708736400,3.8166666666666664,2.2613333333333334,3.6460000000000004,2.2293333333333334,4.017333333333333,2.8320000000000003,2.576666666666667,1.4766666666666666,4.233333333333333,5.622,4.066666666666666,2.4593333333333334,3.356,2.1573333333333333,2.866,2.5,1708736400
1708740000,4.115333333333333,2.316666666666667,3.7860000000000005,2.2266666666666666,4.050666666666666,2.77,2.739333333333333,1.5433333333333334,3.8786666666666667,5.284,4.1433333333333335,2.6566666666666667,3.334,2.3086666666666664,2.996,2.5,1708740000
1708743600,4.414,2.3720000000000003,3.9260000000000006,2.2239999999999998,4.084,2.708,2.9019999999999997,1.61,3.524,4.946,4.22,2.854,3.312,2.46,3.126,2.5,1708743600
1708747200,3.8986666666666663,2.4920000000000004,3.9080000000000004,2.1726666666666663,3.6439999999999997,2.779333333333333,3.3273333333333333,1.93,3.958666666666667,4.706666666666666,4.516666666666667,3.0473333333333334,3.5166666666666666,2.8346666666666667,2.9993333333333334,2.6866666666666665,1708747200
1708750800,3.383333333333333,2.612,3.89,2.1213333333333333,3.204,2.8506666666666667,3.7526666666666664,2.25,4.3933333333333335,4.467333333333333,4.8133333333333335,3.2406666666666664,3.721333333333333,3.209333333333333,2.8726666666666665,2.8733333333333335,1708750800
1708754400,2.868,2.732,3.872,2.07,2.7640000000000002,2.9219999999999997,4.178,2.57,4.828,4.228,5.11,3.4339999999999997,3.9259999999999997,3.5839999999999996,2.746,3.06,1708754400
1708758000,3.5226666666666664,3.425333333333333,4.363333333333333,2.158,3.5293333333333337,3.419333333333333,4.684,3.2933333333333334,5.0553333333333335,4.282666666666667,5.363333333333333,4.109999999999999,4.308666666666666,4.314,3.344,3.283333333333333,1708758000
1708761600,4.1773333333333325,4.118666666666666,4.854666666666667,2.2460000000000004,4.294666666666667,3.9166666666666665,5.1899999999999995,4.016666666666667,5.282666666666667,4.3373333333333335,5.616666666666667,4.786,4.691333333333333,5.044,3.942,3.506666666666667,1708761600
1708765200,4.831999999999999,4.811999999999999,5.346,2.3340000000000005,5.0600000000000005,4.414,5.696,4.74,5.51,4.392,5.87,5.462,5.074,5.774,4.54,3.73,1708765200
1708768800,5.043333333333332,5.028,5.846,2.620666666666667,5.180666666666667,4.664,6.362666666666667,4.993333333333333,5.378,4.950666666666667,5.966666666666667,5.664666666666666,5.434666666666667,5.758,4.738666666666667,4.06,1708768800
1708772400,5.254666666666666,5.243999999999999,6.346000000000001,2.9073333333333333,5.301333333333333,4.914,7.029333333333334,5.246666666666667,5.2459999999999996,5.509333333333334,6.0633333333333335,5.867333333333333,5.795333333333334,5.742,4.937333333333333,4.39,1708772400
1708776000,5.465999999999999,5.459999999999999,6.846000000000001,3.194,5.422,5.164,7.696000000000001,5.5,5.114,6.0680000000000005,6.16,6.069999999999999,6.156000000000001,5.726,5.136,4.72,1708776000
1708779600,5.268666666666666,5.147333333333333,6.668000000000001,2.7106666666666666,5.218,5.070666666666667,7.311333333333334,5.253333333333333,5.136,5.91,5.75,6.154,5.807333333333334,5.5906666666666665,4.714,4.296666666666667,1708779600
1708783200,5.071333333333333,4.834666666666666,6.49,2.2273333333333336,5.014,4.977333333333333,6.926666666666667,5.006666666666667,5.158000000000001,5.752000000000001,5.34,6.2379999999999995,5.458666666666667,5.455333333333334,4.292,3.8733333333333335,1708783200
1708786800,4.874,4.522,6.312,1.7440000000000002,4.8100000000000005,4.884,6.542,4.76,5.1800000000000015,5.594,4.93,6.322,5.11,5.32,3.87,3.45,1708786800
1708790400,4.422666666666666,4.415333333333334,5.814,1.6393333333333335,4.5,4.953333333333334,5.434,4.886666666666667,4.783333333333334,5.488666666666667,5.083333333333333,5.516666666666667,4.882000000000001,4.474666666666667,3.352666666666667,3.7333333333333334,1708790400
1708794000,3.9713333333333334,4.308666666666666,5.316,1.5346666666666668,4.19,5.022666666666667,4.3260000000000005,5.013333333333333,4.386666666666667,5.383333333333334,5.236666666666666,4.711333333333333,4.654,3.6293333333333333,2.8353333333333337,4.016666666666667,1708794000
1708797600,3.5200000000000005,4.202,4.818,1.4300000000000002,3.88,5.0920000000000005,3.218,5.14,3.9899999999999998,5.2780000000000005,5.39,3.906,4.426,2.784,2.318,4.3,1708797600
1708801200,3.4280000000000004,3.802,4.909999999999999,1.3933333333333333,3.938,5.200666666666667,3.206,4.66,4.131333333333333,5.5806666666666676,5.346666666666667,3.8960000000000004,4.550666666666666,2.652,2.4926666666666666,3.9833333333333334,1708801200
